,Date, Open, High, Low, Close, Volume
1501,2012-04-24,80.3729,81.0986,79.2857,80.04,269099838
1502,2012-04-23,81.5157,82.3814,79.5171,81.6714,241629479
1503,2012-04-20,84.4829,84.9457,81.4886,81.8543,257743808
1504,2012-04-19,85.7457,86.3903,83.5029,83.92,208678365
1505,2012-04-18,87.6743,88.6071,86.1014,86.9057,238632471
1506,2012-04-17,82.7057,87.1429,81.7014,87.1,256371472
1507,2012-04-16,87.1514,87.1829,82.6071,82.8757,262696056
1508,2012-04-13,89.1586,89.2429,86.2157,86.4614,214911067
1509,2012-04-12,89.2857,90.19,88.6429,88.9671,153582163
1510,2012-04-11,90.8857,90.9814,89.0489,89.4571,174152769
1511,2012-04-10,91.4186,92.0,89.4286,89.7771,222422452
1512,2012-04-09,89.4471,91.4057,89.3286,90.89,149384046
1513,2012-04-05,89.5686,90.6657,89.0571,90.5257,160318858
1514,2012-04-04,89.1929,89.4086,88.1429,89.1871,143245095
1515,2012-04-03,89.6143,90.3157,88.93,89.9029,208638360
1516,2012-04-02,85.9757,88.3957,85.7686,88.3757,149586458
1517,2012-03-30,86.9671,87.2229,85.42,85.65,182759395
1518,2012-03-29,87.54,88.08,86.7471,87.1229,152059432
1519,2012-03-28,88.34,88.7786,87.1871,88.2314,163864869
1520,2012-03-27,86.5971,88.04,86.58,87.7829,151782141
1521,2012-03-26,85.6843,86.7357,85.0371,86.7114,148934219
1522,2012-03-23,85.7843,85.9714,84.9144,85.15,107621815
1523,2012-03-22,85.3971,86.3571,85.0757,85.62,156032898
1524,2012-03-21,86.1057,87.0929,85.9157,86.0714,161010374
1525,2012-03-20,85.6443,86.7,83.1429,86.5657,204167033
1526,2012-03-19,85.4814,85.9671,84.15,85.8714,225308790
1527,2012-03-16,83.5314,84.1714,82.5714,83.6529,206371879
1528,2012-03-15,85.6586,85.7157,82.65,83.6514,289917768
1529,2012-03-14,82.5786,84.96,82.2,84.2257,354709747
1530,2012-03-13,79.6486,81.1686,79.3929,81.1571,172712659
1531,2012-03-12,78.426,78.8571,78.1429,78.8571,101820019
1532,2012-03-09,77.7443,78.2486,77.5871,77.8814,104724732
1533,2012-03-08,76.3843,77.57,76.0171,77.4271,129110723
1534,2012-03-07,76.6857,76.8257,74.7571,75.8129,199629549
1535,2012-03-06,74.8086,76.2414,73.7459,75.7514,202559651
1536,2012-03-05,77.9171,78.2114,75.1429,76.1657,202280183
1537,2012-03-02,77.7486,78.1143,77.5029,77.8829,107927589
1538,2012-03-01,78.31,78.3157,76.9671,77.7814,170813188
1539,2012-02-29,77.3657,78.23,76.5286,77.4914,238000378
1540,2012-02-28,75.4229,76.4871,75.1214,76.4871,150096478
1541,2012-02-27,74.4729,75.5,73.7543,75.1086,136895304
1542,2012-02-24,74.2386,74.7,74.0914,74.63,103819905
1543,2012-02-23,73.5829,73.9757,72.7857,73.77,142006312
1544,2012-02-22,73.2971,73.6414,72.7243,73.2914,120823808
1545,2012-02-21,72.4114,73.55,72.0171,73.55,151396399
1546,2012-02-17,71.8729,72.5386,71.4714,71.7314,133947191
1547,2012-02-16,70.2143,72.1271,69.5186,71.7443,236137405
1548,2012-02-15,73.4657,75.1843,70.9843,71.0957,376528040
1549,2012-02-14,72.0943,72.7943,71.7143,72.78,115483011
1550,2012-02-13,71.3614,71.9757,71.0129,71.8,129301606
1551,2012-02-10,70.1371,71.0886,69.7929,70.4886,157824975
1552,2012-02-09,68.68,70.9643,68.6514,70.4529,221053602
1553,2012-02-08,67.2143,68.1129,67.1,68.0971,101969280
1554,2012-02-07,66.4643,67.1071,66.3687,66.9757,79055263
1555,2012-02-06,65.4829,66.4257,65.4573,66.2814,62420596
1556,2012-02-03,65.3286,65.7143,65.08,65.6686,71717009
1557,2012-02-02,65.1286,65.31,64.8543,65.0171,46698547
1558,2012-02-01,65.4871,65.57,65.0786,65.17,67510562
1559,2012-01-31,65.0843,65.4629,64.7243,65.2114,97977985
1560,2012-01-30,63.6729,64.8429,63.6271,64.7157,94832073
1561,2012-01-27,63.4771,64.0686,63.3957,63.8971,74971631
1562,2012-01-26,64.0514,64.1129,63.3057,63.5186,81057711
1563,2012-01-25,64.92,64.9214,63.39,63.8086,239565837
1564,2012-01-24,60.7286,60.7286,59.9357,60.0586,136909311
1565,2012-01-23,60.3814,61.2071,60.3286,61.0584,76515446
1566,2012-01-20,61.07,61.0714,59.9643,60.0429,103492249
1567,2012-01-19,61.45,61.6241,60.93,61.1071,65434453
1568,2012-01-18,60.9943,61.3529,60.9,61.3014,69197758
1569,2012-01-17,60.6,60.8557,60.4229,60.6714,60724055
1570,2012-01-13,59.9571,60.0643,59.8086,59.9729,56539749
1571,2012-01-12,60.3257,60.4143,59.8214,60.1986,53180911
